corporate_name_S2,revenue,profit,main_customers
"BARNES, COLE AND RAMIREZ",3705932.05,639952.453207708,"Arnold Ltd,Mcclure, Ward and Lee,Williams and Sons"
GALLOWAY-WYATT,2531722.89,-219581.4280715082,Perez Inc
Morales-Jones,3796448.76,-76575.66915925391,"Carlson-Cruz,Ferrell, Rice and Maddox"
Frazier Inc.,520029.28,46783.73230138905,"Allen-Allen,Arroyo, Miller and Tucker"
SPENCE PLC,2302530.15,-86545.01326083773,"Jones Inc,Jones-Young"
"Washington, Ryan and Cummings.",2890987.2,729355.35998892,Russell Group
"HENSLEY, POWELL AND DAVID",4172211.03,-77907.49388534568,"Smith PLC,Ferrell, Jones and Lewis"
"Freeman, Whitehead and Mathis",825378.44,74059.32628371909,"Hancock and Sons,Johnson-Doyle,Patton-Jenkins"
"Shields, Cochran and Adams",1152949.88,-96790.00182143446,"Zavala, Herrera and Crosby,Wiley LLC"
Carpenter LLC.,1071006.45,160239.30447892635,"Parker, Ortiz and Powell,Spencer-Lee,Bentley, Byrd and Orr"
"CARROLL, SULLIVAN AND BASS",2811226.99,88190.45163784482,"Chambers and Sons,Hernandez Inc,Riggs PLC"
GIBSON LTD,4987712.66,771914.10678649,"Ramirez, Strickland and Washington"
HILL INC,3405601.26,675005.5472680944,"Wall Group,Shah, Smith and Gilmore"
Rodriguez-Johnson.,3845307.68,269508.91149695555,"Garcia-Yu,Snow, Stevens and Hernandez"
Gross Ltd.,4859721.61,1365489.9213682201,"Beard, Peters and Black,Miller Ltd,Freeman-Chang"
WALL LLC,816129.69,307476.7577337657,"Hernandez PLC,Miller-Wright,Duran, Obrien and Gibbs"
ROWE GROUP,4646202.1,1576739.507029011,"Walker, Hernandez and Baker,Jones and Sons"
Larson-Holloway,437410.73,62547.64866617912,"Morris, Wright and Davis"
"HUFF, JOHNSTON AND SAMPSON",2753519.93,89567.36218253375,"Morris-Garcia,Rivera Ltd,Roberts-Landry"
"Smith, Russell and Walker.",2196119.42,348717.23591054673,Hoover-Campbell
MONROE-CARPENTER,2774068.4,538779.7233390698,"Pollard, Simpson and Johnson"
"Sanford, Rivera and Garcia.",363578.18,6908.827897722363,"Villarreal, James and Stewart,Clay, Freeman and Weaver,Jones, Welch and Mccall"
Francis Group.,1222556.24,166862.3873740385,"Thompson PLC,Harvey-Allen"
"THOMAS, MURRAY AND KING",2123657.33,283534.4467834508,"Castaneda-Rodriguez,Armstrong-Andrews,Phillips, Spence and Barrett"
Smith-Grimes,1250795.11,-6123.324721897628,"Diaz, Anderson and Browning,Burgess-Thompson"
BUCHANAN LLC,4373684.91,-272513.6166376681,"Herman-Walker,Reid Group,Turner, Ortiz and Taylor"
Torres Group,4845291.32,1759729.8189519343,Johnson-Wood
WALLACE-YOUNG,2011191.06,-142155.60988821476,"Fernandez and Sons,Guerrero Inc"
Smith and Sons.,1433393.65,355905.5539522125,"Henry Group,Lam LLC,Hernandez, Martinez and Weber"
"KELLEY, NGUYEN AND VANG",4843859.73,918348.0705472762,"Watson, Anderson and Brown,Hoffman, Santiago and Jenkins,Pugh, Henderson and Moon"
Schmitt PLC,293829.1,45224.48511296442,"Farmer, Dorsey and Bell"
Kane PLC.,608234.2,209928.17613983352,"Watkins, Rose and Parker"
FOSTER PLC,3290292.09,600851.62928962,"Roberts-Sullivan,Jackson-Meza"
COLLIER-GILLESPIE,1335416.42,-46153.138512801066,"Briggs, Young and Thomas,Thompson and Sons,Jones, Bean and Burton"
Webster-Wolf,56484.13,11894.407068987533,"Lopez, Jacobs and Mason,Hayes LLC,Miller, Lucas and Williams"
